Do you consent to participate?,A1. What is your age group?,A2. What is your gender?,A3. What is your current employment sector?,A4. What is your current job level?,A5. How many years of work experience do you have?,"B1. How frequently do you use generative AI tools (e.g., ChatGPT, Copilot, Gemini, Claude) for work-related tasks?",B2. Which of the following best describes how you primarily use generative AI at work? (select the closest match),B3. How would you rate your own proficiency/literacy with generative AI tools?, [Generative AI tools help me complete tasks faster.], [Generative AI improves the overall quality of my work output.], [I feel more creative when using generative AI tools.], [Generative AI reduces the amount of repetitive/manual work I do.]," [Overall, generative AI has increased my productivity at work.]", [I am concerned that generative AI could eventually replace parts of my job.], [My organization's growing use of AI tools makes me feel less secure in my role.], [I feel pressure to constantly upskill to keep pace with AI developments.], [I trust my organization to manage AI adoption fairly and transparently.]," [Overall, generative AI increases my anxiety about my long-term career prospects.]",E1. What is your biggest concern (if any) about the use of generative AI in your workplace?,E2. What is the most valuable benefit (if any) you have experienced from using generative AI at work?
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Education,Managerial,8–15 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,25–34,Male,Healthcare,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Expert,4 Agree,3 Neutral,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,Less than 1 year,Frequently (daily),Coding / technical assistance,Beginner,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree,3 Neutral,4 Agree,2 Disagree,4 Agree,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
I have read the above and voluntarily agree to participate.,45–54,Male,Government / Public Sector,Senior / Specialist,1–3 years,Constantly (multiple times per day),Data analysis or summarization,Basic,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Education,Managerial,8–15 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,25–34,Male,Healthcare,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Expert,4 Agree,3 Neutral,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,Less than 1 year,Frequently (daily),Coding / technical assistance,Beginner,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree,3 Neutral,4 Agree,2 Disagree,4 Agree,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
I have read the above and voluntarily agree to participate.,45–54,Male,Government / Public Sector,Senior / Specialist,1–3 years,Constantly (multiple times per day),Data analysis or summarization,Basic,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Other,Entry-level / Junior,4–7 years,Never,Brainstorming / idea generation,Intermediate,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
I have read the above and voluntarily agree to participate.,18–24,Male,Technology / IT,Managerial,8–15 years,Rarely (a few times a month),Customer-facing communication,Advanced,4 Agree,5 Strongly Agree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
I have read the above and voluntarily agree to participate.,25–34,Prefer not to say,Finance / Banking,Mid-level / Associate,More than 15 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
I have read the above and voluntarily agree to participate.,35–44,Male,Education,Executive / C-level,Less than 1 year,Frequently (daily),"Drafting written content (emails, reports, documents)",Beginner,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,2 Disagree,4 Agree,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
I have read the above and voluntarily agree to participate.,45–54,Prefer not to say,Healthcare,Senior / Specialist,1–3 years,Constantly (multiple times per day),Coding / technical assistance,Basic,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,55 or older,Male,Retail / E-commerce,Entry-level / Junior,4–7 years,Never,Data analysis or summarization,Intermediate,2 Disagree,2 Disagree,4 Agree,5 Strongly Agree,2 Disagree,2 Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Government / Public Sector,Managerial,8–15 years,Rarely (a few times a month),Brainstorming / idea generation,Advanced,4 Agree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
I have read the above and voluntarily agree to participate.,25–34,Male,Other,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),Customer-facing communication,Expert,4 Agree,5 Strongly Agree,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
I have read the above and voluntarily agree to participate.,35–44,Prefer not to say,Technology / IT,Executive / C-level,Less than 1 year,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
I have read the above and voluntarily agree to participate.,45–54,Male,Finance / Banking,Senior / Specialist,1–3 years,Constantly (multiple times per day),"Drafting written content (emails, reports, documents)",Basic,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Education,Entry-level / Junior,4–7 years,Never,Coding / technical assistance,Intermediate,2 Disagree,2 Disagree,4 Agree,5 Strongly Agree,2 Disagree,2 Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
I have read the above and voluntarily agree to participate.,18–24,Male,Healthcare,Managerial,8–15 years,Rarely (a few times a month),Data analysis or summarization,Advanced,4 Agree,2 Disagree,4 Agree,5 Strongly Agree,2 Disagree,2 Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
I have read the above and voluntarily agree to participate.,25–34,Prefer not to say,Retail / E-commerce,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),Brainstorming / idea generation,Expert,4 Agree,3 Neutral,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,35–44,Male,Government / Public Sector,Executive / C-level,Less than 1 year,Frequently (daily),Customer-facing communication,Beginner,4 Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,2 Disagree,4 Agree,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,45–54,Prefer not to say,Other,Senior / Specialist,1–3 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
I have read the above and voluntarily agree to participate.,55 or older,Male,Technology / IT,Entry-level / Junior,4–7 years,Never,"Drafting written content (emails, reports, documents)",Intermediate,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Finance / Banking,Managerial,8–15 years,Rarely (a few times a month),Coding / technical assistance,Advanced,4 Agree,2 Disagree,4 Agree,5 Strongly Agree,2 Disagree,2 Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
I have read the above and voluntarily agree to participate.,25–34,Male,Education,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),Data analysis or summarization,Expert,4 Agree,3 Neutral,4 Agree,5 Strongly Agree,3 Neutral,3 Neutral,2 Disagree,3 Neutral,4 Agree,3 Neutral,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
I have read the above and voluntarily agree to participate.,35–44,Prefer not to say,Healthcare,Executive / C-level,Less than 1 year,Frequently (daily),Brainstorming / idea generation,Beginner,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,2 Disagree,4 Agree,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
I have read the above and voluntarily agree to participate.,45–54,Male,Retail / E-commerce,Senior / Specialist,1–3 years,Constantly (multiple times per day),Customer-facing communication,Basic,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Government / Public Sector,Entry-level / Junior,4–7 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,18–24,Male,Other,Managerial,8–15 years,Rarely (a few times a month),"Drafting written content (emails, reports, documents)",Advanced,4 Agree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,25–34,Prefer not to say,Technology / IT,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),Coding / technical assistance,Expert,4 Agree,3 Neutral,4 Agree,5 Strongly Agree,3 Neutral,3 Neutral,2 Disagree,3 Neutral,4 Agree,3 Neutral,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
I have read the above and voluntarily agree to participate.,35–44,Male,Finance / Banking,Executive / C-level,Less than 1 year,Frequently (daily),Data analysis or summarization,Beginner,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree,3 Neutral,4 Agree,2 Disagree,4 Agree,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
I have read the above and voluntarily agree to participate.,45–54,Prefer not to say,Education,Senior / Specialist,1–3 years,Constantly (multiple times per day),Brainstorming / idea generation,Basic,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
I have read the above and voluntarily agree to participate.,55 or older,Male,Healthcare,Entry-level / Junior,4–7 years,Never,Customer-facing communication,Intermediate,2 Disagree,5 Strongly Agree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Retail / E-commerce,Managerial,8–15 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
I have read the above and voluntarily agree to participate.,25–34,Male,Government / Public Sector,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Expert,4 Agree,3 Neutral,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Education,Managerial,8–15 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,25–34,Male,Healthcare,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Expert,4 Agree,3 Neutral,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,Less than 1 year,Frequently (daily),Coding / technical assistance,Beginner,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,4 Agree,3 Neutral,4 Agree,2 Disagree,4 Agree,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
I have read the above and voluntarily agree to participate.,45–54,Male,Government / Public Sector,Senior / Specialist,1–3 years,Constantly (multiple times per day),Data analysis or summarization,Basic,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Other,Entry-level / Junior,4–7 years,Never,Brainstorming / idea generation,Intermediate,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
I have read the above and voluntarily agree to participate.,18–24,Male,Technology / IT,Managerial,8–15 years,Rarely (a few times a month),Customer-facing communication,Advanced,4 Agree,5 Strongly Agree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Education,Managerial,8–15 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,25–34,Male,Healthcare,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Expert,4 Agree,3 Neutral,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,1–3 years,Frequently (daily),Coding / technical assistance,Intermediate,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,1 Strongly Disagree,1 Strongly Disagree,3 Neutral,Security breach ,Helped me organize and arrange many things 
I have read the above and voluntarily agree to participate.,25–34,Male,Government / Public Sector,Senior / Specialist,8–15 years,Constantly (multiple times per day),Data analysis or summarization,Beginner,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,2 Disagree,3 Neutral,4 Agree,3 Neutral,4 Agree,"My biggest concern is data privacy and security, especially when sensitive or confidential workplace information is entered into generative AI tools.","The most valuable benefit is saving time and improving productivity, especially by helping with research, generating ideas, summarizing information, and completing routine tasks more efficiently."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Senior / Specialist,4–7 years,Frequently (daily),Coding / technical assistance,Intermediate,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,,
