respondent_id,age_group,gender,sector,job_level_text,job_level,experience_years_text,experience_years_code,ai_usage_freq_text,ai_usage_freq,ai_primary_use,ai_literacy_text,ai_literacy,prod_1,prod_2,prod_3,prod_4,prod_5,productivity_index,anx_1,anx_2,anx_3,anx_4,anx_5,anx_4_rev,anxiety_index,concern_text,benefit_text
R1071,35–44,Male,Education,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,"Drafting written content (emails, reports, documents)",Beginner,1,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,2.0,4.0,4.0,3.6,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
R1072,45–54,Prefer not to say,Healthcare,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,Coding / technical assistance,Basic,2,5.0,4.0,4.0,5.0,5.0,4.6,5.0,4.0,5.0,2.0,5.0,4.0,4.6,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1073,55 or older,Male,Retail / E-commerce,Entry-level / Junior,1,4–7 years,3,Never,1,Data analysis or summarization,Intermediate,3,2.0,2.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,1.8,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1074,18–24,Prefer not to say,Government / Public Sector,Managerial,4,8–15 years,4,Rarely (a few times a month),2,Brainstorming / idea generation,Advanced,4,4.0,2.0,2.0,2.0,2.0,2.4,1.0,1.0,2.0,2.0,2.0,4.0,2.0,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
R1075,25–34,Male,Other,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,Customer-facing communication,Expert,5,4.0,5.0,3.0,3.0,3.0,3.6,2.0,2.0,3.0,4.0,3.0,2.0,2.4,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
R1076,35–44,Prefer not to say,Technology / IT,Executive / C-level,5,Less than 1 year,1,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
R1077,45–54,Male,Finance / Banking,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,"Drafting written content (emails, reports, documents)",Basic,2,5.0,4.0,4.0,5.0,5.0,4.6,4.0,4.0,5.0,2.0,5.0,4.0,4.4,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
R1078,55 or older,Prefer not to say,Education,Entry-level / Junior,1,4–7 years,3,Never,1,Coding / technical assistance,Intermediate,3,2.0,2.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,1.8,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
R1079,18–24,Male,Healthcare,Managerial,4,8–15 years,4,Rarely (a few times a month),2,Data analysis or summarization,Advanced,4,4.0,2.0,4.0,5.0,2.0,3.4,2.0,1.0,2.0,2.0,2.0,4.0,2.2,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
R1080,25–34,Prefer not to say,Retail / E-commerce,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,Brainstorming / idea generation,Expert,5,4.0,3.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1081,35–44,Male,Government / Public Sector,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,Customer-facing communication,Beginner,1,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.6,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1082,45–54,Prefer not to say,Other,Senior / Specialist,3,1–3 years,2,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
R1083,55 or older,Male,Technology / IT,Entry-level / Junior,1,4–7 years,3,Never,1,"Drafting written content (emails, reports, documents)",Intermediate,3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
R1084,18–24,Prefer not to say,Finance / Banking,Managerial,4,8–15 years,4,Rarely (a few times a month),2,Coding / technical assistance,Advanced,4,4.0,2.0,4.0,5.0,2.0,3.4,2.0,1.0,2.0,2.0,2.0,4.0,2.2,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
R1085,25–34,Male,Education,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,Data analysis or summarization,Expert,5,4.0,3.0,4.0,5.0,3.0,3.8,3.0,2.0,3.0,4.0,3.0,2.0,2.6,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
R1086,35–44,Prefer not to say,Healthcare,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,Brainstorming / idea generation,Beginner,1,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,2.0,4.0,4.0,3.6,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
R1087,45–54,Male,Retail / E-commerce,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,Customer-facing communication,Basic,2,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
R1088,55 or older,Prefer not to say,Government / Public Sector,Entry-level / Junior,1,4–7 years,3,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1089,18–24,Male,Other,Managerial,4,8–15 years,4,Rarely (a few times a month),2,"Drafting written content (emails, reports, documents)",Advanced,4,4.0,2.0,2.0,2.0,2.0,2.4,1.0,1.0,2.0,2.0,2.0,4.0,2.0,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1090,25–34,Prefer not to say,Technology / IT,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,Coding / technical assistance,Expert,5,4.0,3.0,4.0,5.0,3.0,3.8,3.0,2.0,3.0,4.0,3.0,2.0,2.6,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
R1091,35–44,Male,Finance / Banking,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,Data analysis or summarization,Beginner,1,4.0,4.0,4.0,5.0,4.0,4.2,4.0,3.0,4.0,2.0,4.0,4.0,3.8,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
R1092,45–54,Prefer not to say,Education,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,Brainstorming / idea generation,Basic,2,5.0,4.0,4.0,5.0,5.0,4.6,4.0,4.0,5.0,2.0,5.0,4.0,4.4,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
R1093,55 or older,Male,Healthcare,Entry-level / Junior,1,4–7 years,3,Never,1,Customer-facing communication,Intermediate,3,2.0,5.0,2.0,2.0,2.0,2.6,1.0,1.0,2.0,4.0,2.0,2.0,1.6,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
R1094,18–24,Prefer not to say,Retail / E-commerce,Managerial,4,8–15 years,4,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
R1095,25–34,Male,Government / Public Sector,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Expert,5,4.0,3.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,The primary concern is keeping human accountability in the loop as AI adoption increases.,AI is especially helpful for turning raw information into actionable summaries and drafts for rapid review.
R1096,18–24,Prefer not to say,Education,Managerial,4,8–15 years,4,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1097,25–34,Male,Healthcare,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Expert,5,4.0,3.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1098,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,Coding / technical assistance,Beginner,1,4.0,4.0,4.0,5.0,4.0,4.2,4.0,3.0,4.0,2.0,4.0,4.0,3.8,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
R1099,45–54,Male,Government / Public Sector,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,Data analysis or summarization,Basic,2,5.0,4.0,4.0,5.0,5.0,4.6,5.0,4.0,5.0,2.0,5.0,4.0,4.6,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
R1100,55 or older,Prefer not to say,Other,Entry-level / Junior,1,4–7 years,3,Never,1,Brainstorming / idea generation,Intermediate,3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
R1101,18–24,Male,Technology / IT,Managerial,4,8–15 years,4,Rarely (a few times a month),2,Customer-facing communication,Advanced,4,4.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
R1102,18–24,Prefer not to say,Education,Managerial,4,8–15 years,4,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1103,25–34,Male,Healthcare,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Expert,5,4.0,3.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1104,25–34,Female,Technology / IT,Mid-level / Associate,2,1–3 years,2,Frequently (daily),4,Coding / technical assistance,Intermediate,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,5.0,3.6,Security breach ,Helped me organize and arrange many things 
R1105,25–34,Male,Government / Public Sector,Senior / Specialist,3,8–15 years,4,Constantly (multiple times per day),5,Data analysis or summarization,Beginner,1,5.0,4.0,5.0,5.0,5.0,4.8,2.0,3.0,4.0,3.0,4.0,3.0,3.2,"My biggest concern is data privacy and security, especially when sensitive or confidential workplace information is entered into generative AI tools.","The most valuable benefit is saving time and improving productivity, especially by helping with research, generating ideas, summarizing information, and completing routine tasks more efficiently."
R1106,25–34,Female,Technology / IT,Senior / Specialist,3,4–7 years,3,Frequently (daily),4,Coding / technical assistance,Intermediate,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.8,,
